year,Region,Attack.Type,Percentage
1970,Asia-Pacific,Armed Assault,0
1970,Asia-Pacific,Bombing/Explosion,7
1970,Asia-Pacific,Facility/Infrastructure Attack,1
1970,Asia-Pacific,Hostage taking/assassinaton,1
1970,Asia-Pacific,Other,4
1970,Central America & Caribbean,Armed Assault,0
1970,Central America & Caribbean,Bombing/Explosion,0
1970,Central America & Caribbean,Facility/Infrastructure Attack,0
1970,Central America & Caribbean,Hostage taking/assassinaton,7
1970,Central America & Caribbean,Other,0
1970,Central Asia,Armed Assault,0
1970,Central Asia,Bombing/Explosion,0
1970,Central Asia,Facility/Infrastructure Attack,0
1970,Central Asia,Hostage taking/assassinaton,0
1970,Central Asia,Other,0
1970,Europe,Armed Assault,17
1970,Europe,Bombing/Explosion,23
1970,Europe,Facility/Infrastructure Attack,12
1970,Europe,Hostage taking/assassinaton,3
1970,Europe,Other,6
1970,MENA,Armed Assault,4
1970,MENA,Bombing/Explosion,14
1970,MENA,Facility/Infrastructure Attack,1
1970,MENA,Hostage taking/assassinaton,7
1970,MENA,Other,3
1970,North America,Armed Assault,7
1970,North America,Bombing/Explosion,86
1970,North America,Facility/Infrastructure Attack,13
1970,North America,Hostage taking/assassinaton,6
1970,North America,Other,360
1970,South America,Armed Assault,12
1970,South America,Bombing/Explosion,11
1970,South America,Facility/Infrastructure Attack,11
1970,South America,Hostage taking/assassinaton,29
1970,South America,Other,2
1970,South Asia,Armed Assault,0
1970,South Asia,Bombing/Explosion,0
1970,South Asia,Facility/Infrastructure Attack,0
1970,South Asia,Hostage taking/assassinaton,1
1970,South Asia,Other,0
1970,Sub-Saharan Africa,Armed Assault,0
1970,Sub-Saharan Africa,Bombing/Explosion,0
1970,Sub-Saharan Africa,Facility/Infrastructure Attack,0
1970,Sub-Saharan Africa,Hostage taking/assassinaton,2
1970,Sub-Saharan Africa,Other,1
1971,Asia-Pacific,Armed Assault,0
1971,Asia-Pacific,Bombing/Explosion,5
1971,Asia-Pacific,Facility/Infrastructure Attack,0
1971,Asia-Pacific,Hostage taking/assassinaton,2
1971,Asia-Pacific,Other,1
1971,Central America & Caribbean,Armed Assault,3
1971,Central America & Caribbean,Bombing/Explosion,0
1971,Central America & Caribbean,Facility/Infrastructure Attack,0
1971,Central America & Caribbean,Hostage taking/assassinaton,2
1971,Central America & Caribbean,Other,0
1971,Central Asia,Armed Assault,0
1971,Central Asia,Bombing/Explosion,0
1971,Central Asia,Facility/Infrastructure Attack,0
1971,Central Asia,Hostage taking/assassinaton,0
1971,Central Asia,Other,0
1971,Europe,Armed Assault,5
1971,Europe,Bombing/Explosion,51
1971,Europe,Facility/Infrastructure Attack,10
1971,Europe,Hostage taking/assassinaton,61
1971,Europe,Other,2
1971,MENA,Armed Assault,7
1971,MENA,Bombing/Explosion,36
1971,MENA,Facility/Infrastructure Attack,1
1971,MENA,Hostage taking/assassinaton,7
1971,MENA,Other,4
1971,North America,Armed Assault,15
1971,North America,Bombing/Explosion,76
1971,North America,Facility/Infrastructure Attack,24
1971,North America,Hostage taking/assassinaton,3
1971,North America,Other,129
1971,South America,Armed Assault,8
1971,South America,Bombing/Explosion,3
1971,South America,Facility/Infrastructure Attack,2
1971,South America,Hostage taking/assassinaton,11
1971,South America,Other,0
1971,South Asia,Armed Assault,0
1971,South Asia,Bombing/Explosion,0
1971,South Asia,Facility/Infrastructure Attack,0
1971,South Asia,Hostage taking/assassinaton,0
1971,South Asia,Other,0
1971,Sub-Saharan Africa,Armed Assault,0
1971,Sub-Saharan Africa,Bombing/Explosion,0
1971,Sub-Saharan Africa,Facility/Infrastructure Attack,0
1971,Sub-Saharan Africa,Hostage taking/assassinaton,1
1971,Sub-Saharan Africa,Other,1
1972,Asia-Pacific,Armed Assault,5
1972,Asia-Pacific,Bombing/Explosion,5
1972,Asia-Pacific,Facility/Infrastructure Attack,0
1972,Asia-Pacific,Hostage taking/assassinaton,2
1972,Asia-Pacific,Other,0
1972,Central America & Caribbean,Armed Assault,0
1972,Central America & Caribbean,Bombing/Explosion,3
1972,Central America & Caribbean,Facility/Infrastructure Attack,0
1972,Central America & Caribbean,Hostage taking/assassinaton,0
1972,Central America & Caribbean,Other,0
1972,Central Asia,Armed Assault,0
1972,Central Asia,Bombing/Explosion,0
1972,Central Asia,Facility/Infrastructure Attack,0
1972,Central Asia,Hostage taking/assassinaton,0
1972,Central Asia,Other,0
1972,Europe,Armed Assault,49
1972,Europe,Bombing/Explosion,107
1972,Europe,Facility/Infrastructure Attack,4
1972,Europe,Hostage taking/assassinaton,184
1972,Europe,Other,12
1972,MENA,Armed Assault,2
1972,MENA,Bombing/Explosion,23
1972,MENA,Facility/Infrastructure Attack,0
1972,MENA,Hostage taking/assassinaton,5
1972,MENA,Other,5
1972,North America,Armed Assault,3
1972,North America,Bombing/Explosion,21
1972,North America,Facility/Infrastructure Attack,4
1972,North America,Hostage taking/assassinaton,5
1972,North America,Other,36
1972,South America,Armed Assault,3
1972,South America,Bombing/Explosion,8
1972,South America,Facility/Infrastructure Attack,0
1972,South America,Hostage taking/assassinaton,9
1972,South America,Other,0
